ID,name,city
10997152,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
93120257,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
90589541,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
77271469,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
40944902,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
46745913,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",Denver
70452033,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
61893738,"International Conference on Engineering Research and Application 2022, ICERA 2022",Cairo
60097504,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
78882955,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",Denver
62928601,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",Denver
49051151,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
19620202,"6th ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery, GeoAI 2023",Hamburg
23767152,"8th ACM SIGSPATIAL International Workshop on Security Response using GIS, EM-GIS 2023",Hamburg
49501649,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
49204809,"4th International Conference on Material Science and Applications, ICMSA 2021","Virtual, Online"
